week,manager,team_name,points,points_against,projected_points
1,Adam,Zeke Virus,200.32,128.42,149.14
1,roy s,Obi 'Quon Kenobi,128.42,200.32,145.76
1,Christopher,3HeadedATK,115.90,105.84,142.94
1,JL,Post Mahomes,105.84,115.90,142.76
1,Travis,Big Bucs No Whammies,164.20,125.78,152.86
1,Jean,Run it Back,125.78,164.20,152.54
1,Jake,Birds Like I'm Julio,140.26,136.52,144.93
1,Khari,Da Don Da Da's,136.52,140.26,142.10
1,Andy,Eli Man Penguin Boy,172.82,141.42,144.77
1,Andre Lafontant,Game of Jones,141.42,172.82,146.00
2,Adam,Zeke Virus,111.74,98.52,146.87
2,Jean,Run it Back,98.52,111.74,149.25
2,Christopher,3HeadedATK,135.10,122.92,142.05
2,Andre Lafontant,Game of Jones,122.92,135.10,152.82
2,Travis,Big Bucs No Whammies,128.60,152.62,142.64
2,JL,Post Mahomes,152.62,128.60,141.39
2,Jake,Birds Like I'm Julio,133.88,178.46,149.46
2,roy s,Obi 'Quon Kenobi,178.46,133.88,140.42
2,Andy,Eli Man Penguin Boy,149.56,121.82,142.45
2,Khari,Da Don Da Da's,121.82,149.56,145.25
3,Adam,Zeke Virus,147.96,174.96,147.73
3,Travis,Big Bucs No Whammies,174.96,147.96,145.20
3,Christopher,3HeadedATK,166.40,132.38,147.46
3,Jake,Birds Like I'm Julio,132.38,166.40,151.58
3,Jean,Run it Back,148.32,127.60,143.08
3,Andy,Eli Man Penguin Boy,127.60,148.32,143.22
3,roy s,Obi 'Quon Kenobi,120.54,111.22,146.13
3,JL,Post Mahomes,111.22,120.54,143.39
3,Andre Lafontant,Game of Jones,153.56,176.52,146.12
3,Khari,Da Don Da Da's,176.52,153.56,155.31
4,Adam,Zeke Virus,154.30,105.40,137.39
4,Christopher,3HeadedATK,105.40,154.30,144.41
4,Travis,Big Bucs No Whammies,120.80,152.90,145.78
4,Khari,Da Don Da Da's,152.90,120.80,139.00
4,Jake,Birds Like I'm Julio,109.58,112.88,131.06
4,JL,Post Mahomes,112.88,109.58,133.21
4,Jean,Run it Back,155.92,122.50,140.39
4,Andre Lafontant,Game of Jones,122.50,155.92,145.13
4,Andy,Eli Man Penguin Boy,160.68,147.92,141.86
4,roy s,Obi 'Quon Kenobi,147.92,160.68,126.02
5,Adam,Zeke Virus,155.76,175.94,139.05
5,Jake,Birds Like I'm Julio,175.94,155.76,131.83
5,Christopher,3HeadedATK,96.00,209.72,139.53
