team_name,week,player_name,player_position,player_team,lineup_position,fantasy_points,manager
Zeke Virus,1,A.J. Green,WR,Cin,BN,0,Adam
Run it Back,1,Aaron Jones,RB,GB,RB,4.9,Jean
Eli Man Penguin Boy,1,Aaron Rodgers,QB,GB,QB,13.92,Andy
Game of Jones,1,Adam Humphries,WR,Ten,BN,1.5,Andre
Big Bucs No Whammies,1,Adam Thielen,WR,Min,WR,13.3,Travis
Game of Jones,1,Adrian Peterson,RB,Was,BN,0,Andre
Run it Back,1,Alexander Mattison,RB,Min,BN,4.9,Jean
Birds Like I'm Julio,1,Allen Robinson II,WR,Chi,W/R/T,17.2,Jake
Game of Jones,1,Alshon Jeffery,WR,Phi,W/R/T,22.1,Andre
Run it Back,1,Alvin Kamara,RB,NO,RB,23.9,Jean
Zeke Virus,1,Amari Cooper,WR,Dal,WR,22.6,Adam
Zeke Virus,1,Anthony Miller,WR,Chi,BN,0,Adam
Birds Like I'm Julio,1,Antonio Brown,WR,NE,BN,0,Jake
Big Bucs No Whammies,1,Austin Ekeler,RB,LAC,W/R/T,39.4,Travis
Game of Jones,1,Austin Hooper,TE,Atl,BN,16.7,Andre
3HeadedATK,1,Baker Mayfield,QB,Cle,QB,13.4,Christopher
Zeke Virus,1,Baltimore,DEF,Bal,DEF,13,Adam
3HeadedATK,1,Ben Roethlisberger,QB,Pit,BN,10.74,Christopher
Game of Jones,1,Brandin Cooks,WR,LAR,WR,5.9,Andre
Run it Back,1,Brandon McManus,K,Den,K,10,Jean
Da Don Da Da's,1,Buffalo,DEF,Buf,DEF,10,Khari
Eli Man Penguin Boy,1,Calvin Ridley,WR,Atl,W/R/T,16.4,Andy
Birds Like I'm Julio,1,Cam Newton,QB,Car,BN,6.36,Jake
Zeke Virus,1,Carlos Hyde,RB,Hou,BN,9.5,Adam
Zeke Virus,1,Carson Wentz,QB,Phi,QB,28.02,Adam
Game of Jones,1,Chicago,DEF,Chi,DEF,9,Andre
Zeke Virus,1,Chris Carson,RB,Sea,W/R/T,24,Adam
Eli Man Penguin Boy,1,Chris Godwin,WR,TB,WR,14.3,Andy
Big Bucs No Whammies,1,Chris Thompson,RB,Was,BN,14.8,Travis
3HeadedATK,1,Christian Kirk,WR,Ari,BN,10.4,Christopher
Big Bucs No Whammies,1,Christian McCaffrey,RB,Car,RB,42.9,Travis
Run it Back,1,Cleveland,DEF,Cle,DEF,0,Jean
Da Don Da Da's,1,Cooper Kupp,WR,LAR,WR,11.6,Khari
Big Bucs No Whammies,1,Corey Davis,WR,Ten,W/R/T,0,Travis
Run it Back,1,Courtland Sutton,WR,Den,BN,19,Jean
Post Mahomes,1,Curtis Samuel,WR,Car,W/R/T,6.2,JL
Obi 'Quon Kenobi,1,Dak Prescott,QB,Dal,BN,37.4,roy s
Eli Man Penguin Boy,1,Dalvin Cook,RB,Min,RB,26,Andy
Eli Man Penguin Boy,1,Damien Williams,RB,KC,RB,18.5,Andy
Run it Back,1,Dante Pettis,WR,SF,BN,1.7,Jean
Birds Like I'm Julio,1,Darrell Henderson Jr.,RB,LAR,BN,0,Jake
3HeadedATK,1,Darwin Thompson,RB,KC,BN,1.3,Christopher
Run it Back,1,Davante Adams,WR,GB,WR,7.6,Jean
Zeke Virus,1,David Johnson,RB,Ari,RB,25.7,Adam
Birds Like I'm Julio,1,David Montgomery,RB,Chi,RB,5.5,Jake
Eli Man Penguin Boy,1,David Njoku,TE,Cle,BN,13.7,Andy
Eli Man Penguin Boy,1,DeAndre Hopkins,WR,Hou,WR,31.1,Andy
3HeadedATK,1,Dede Westbrook,WR,Jax,BN,14.2,Christopher
Big Bucs No Whammies,1,Delanie Walker,TE,Ten,BN,22.5,Travis
Big Bucs No Whammies,1,Demaryius Thomas,WR,NYJ,BN,0,Travis
Post Mahomes,1,Denver,DEF,Den,DEF,0,JL
Eli Man Penguin Boy,1,Derrick Henry,RB,Ten,W/R/T,28.9,Andy
Da Don Da Da's,1,Derrius Guice,RB,Was,BN,6.8,Khari
Run it Back,1,DeSean Jackson,WR,Phi,BN,35.4,Jean
Obi 'Quon Kenobi,1,Deshaun Watson,QB,Hou,QB,34.72,roy s
Run it Back,1,Devin Singletary,RB,Buf,BN,14.8,Jean
Post Mahomes,1,Devonta Freeman,RB,Atl,RB,4.1,JL
Big Bucs No Whammies,1,Dion Lewis,RB,Ten,BN,4.3,Travis
Run it Back,1,DJ Moore,WR,Car,W/R/T,12.6,Jean
Post Mahomes,1,DK Metcalf,WR,Sea,BN,12.9,JL
Eli Man Penguin Boy,1,Donte Moncrief,WR,Car,BN,3.7,Andy
